,아이디,댓글 내용
220,  Jay Fans,Hyun soo definitely nailed it 👏👏💯👍
221,  떡락중인 초코마카롱,13:08 Kill point
222,  재쿠x허쉬,ㄹㅇ 죽이네
223,  루아에 하루,"심수련이 주단태를 때리는 것과 베로나가 천서진,하은별을 복수하는 것에 극찬을 한다.짝짝짝짝짝짝👏👏👏👏👏👏👏"
224,  서민지,호칭이 천쌤에서 아줌마로 바뀐거 자체가 사이다다ㅋㅋㅋㅋㅋ
225,  댕댕이,역시 로나는 청아예고 대상이야 갓로나ㅎㅎ수련님은 퀸수련이군역시 벽이있다...완벽
226,  진정한 여신이죠,이거 지금 상황에 안 맞을 수도 있지만...시즌3되면서 민혁이가 철 든건지...요즘 민혁이도 좋네...
227,  ❥姈火령화❦,"시즌 1-2 심수련 대사""내가 간다고 미친개는 미친개가 상대해야되니까""""악마는 악마가 상대해야죠""천서진 어이없다 ""니네 엄마가 그렇게 가르치디?""하은별 니(엄마)가 살인 가르쳤잖아"
228,  :/,요번 시즌은 로나 복수 장면 많이 나올 거 같은데 기대되네😏
229,  정해담,주둘리 과거가 저래서 그랬구나 근데 하나도 안쓰럽지가 않음. 자식 안때리고 바람 안피우고 사람 안죽이고 소리 덜지르고 남의 신분만 안뺏었으면 안쓰럽고 응원하고 막 그럴 수 있었는데...
230,  지구랑이,배로나 진짜 다시봐도 성악 ㄹㅇ 잘부르네
231,  Lea Gicanal,i love this...
232,  뿜니쟁이,아니 근데 우리 석훈이한테도 계획이 있는 거겠지...?
233,  he O,"5:39 볼때마다 립싱크연기 완벽함,, 눈빛이랑 입모양이랑 넌나한테 안돼라고 말하는것처럼 눈썹까닥하는것까지 완벽했음"
234,  김티라노,10:04 쭈굴단탱👀 하찮고 귀여워 ㅋㅋ
235,  아린[ARIN],0:23에 로나 입고있는 옷 석경이가 지그재그할때 입었던 오시이에여
236,  막내,6:50 김현수배우님 눈이 진짜 유리알같다
237,  luminous38,서진이랑 은별이 모녀는 갱생할 수 있을까갱생할 기회를 줬는데도 마다하고 어쩜 저렇게 뻔뻔하게 한결같이 로나를 대할까
238,  Hakuna Matata,이제 로나한테 뚜까 맞아야죠
239,  황인준,갱생하겟죠 그리고 오윤희는 살아오고요
240,  현ooo,은별이는 약먹어서 그런거아니에요?
241,  페리도트, @현ooo  석경이와 은별이는 혜인이가 와야 갱생하려나?아니면 찐단태한테 맡기려나?
242,  최덕배,오윤희죽었을때부터 갱생안됨.. 그나마 하은별은 죄책감을 심하게느끼긴하던데 기억지워달라고 자기가 말하고 선택한거니까..갱생되기 글렀슴 그리고 약쟁이되어서 파멸할듯
243,  현ooo, @최덕배  그래도 엄청 미안해하던데요
244,  테이블,"여자도 반하게하는 그녀들....어서 주단탱,천서진,하은별참교육 가자!!!!"
245,  ᄋᄋ,제대로
246,  욥피,주단탱은 남자자넠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
247,  gms 5104 vivian,With 백준기 넘 싫어 선역인거 같은데 악역이야 싫어
248,  네 진은 잘생겼습니다,그럼 민혁이 참교육은 누가하지?제니가 하나?
249,  테이블," @욥피  아니 제말은 심수련이랑 배로나가주단탱,천서진,하은별 참교육하니까여자도 반한다고하는거에요.."
250,  페리도트,"심배 듀오는 주석경, 찐단태도 참교육 해야 할판임. 주석경과 찐단태가 로건 달갑지 않게 보니까"
251,  melthon Brtish, @gms 5104 vivian  게다가 이 비극을 시작되게 만든 주 원인의 아들임.
252,  언제나맑음, @네 진은 잘생겼습니다    민혁이 요새 착해졌어요
253,  크림, @언제나맑음  순옥이가 이제 민혁이도 세탁기에 돌려주려나봐요..
254,  DTUPKL,"14:46 Yoon Hee being Joo Dan Te's sister might be the biggest plot twist in this drama 😳 crazy Penthouse drama 😱 It wouldn't be at all surprising 🤧😅 They're all siblings here😂 not more Penthouse but Twinhouse, Siblingshouse"
255,  ᄉ발 내가 참아주니까만만하냐록련 살려내!!!!!,"진짜 주단태 맞을 때 속시원햇음,,ㄹㅇ 진짜 말로 표현못하게,,, 하 그동안 참아왓다 꺄아아ㅏ아아아ㅏ앙이제 록련 키스만 갈기면 되겠지?^^"
256,  HAPPEE BIRTH DAE HARRY,퀸수련 운동 열심히 하셧나 단탱이를 걍 조져버리네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
257,  Sukma kk,13:41 i love this moment😠
258,  송나리,주단태 저 놈은 지가 죽인 놈이 몇명인데 남이 지 죽일려고 하면 미친 놈이고 날 죽일 셈이야? 임 내로남불 오졌움
259,  김복순,나이?
260,  어묵을먹고싶은김두한,사실 자기가 직접 죽인사람은 지금까지 김미숙 1명밖에 없지 않았나
261,  송나리," @어묵을먹고싶은김두한   백준기네 부모들, 나애교 죽였고 로건리, 로나, 오윤희 죽일뻔했죠"
262,  크림,진짜 쟤는 사형당해도 모자를판이야.. 사약을 먹여도 답답해..
263,  어묵을먹고싶은김두한, @송나리  아 직접 4명죽였구나
264,  Hakuna Matata,3:31 배로나 반격 시작
265,  석로,이정도면 로나도 주연이지...
266,  서별이star,0:56 배로나: 아까 카페에 두고간 물건 들 어떻하지 누가 훔져갈거 같은데 그래도 걸쩍 (?) 떡볶이 치킨 맛있어. 냠냠 쩝🍗🍗🍗🍗🍗🍗🍗🍗🍗🍡🍡🍡🍡
267,  하율 &VLOG: 곰,4:52 나만 이 여자분 예쁘다고 생각하나..
268,  미인쩌어미이님 팬심,천서진 쌤 사장님이라고 첨에 들었는데 잘 들어보니까 천서진 센터장님이였네
